日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
3月29日(金),"41,138 人",○,7 - 3,オリックス,上沢,3:28,札幌ドーム,3月29日(金)
3月30日(土),"41,138 人",△,4 - 4,オリックス,金子,5:12,札幌ドーム,3月30日(土)
3月31日(日),"41,138 人",○,3 - 1,オリックス,有原,3:02,札幌ドーム,3月31日(日)
4月5日(金),"27,499 人",○,5 - 2,西武,上沢,3:04,東京ドーム,4月5日(金)
4月6日(土),"37,058 人",●,3 - 16,西武,加藤,3:41,東京ドーム,4月6日(土)
4月7日(日),"28,141 人",●,2 - 4,西武,有原,3:00,東京ドーム,4月7日(日)
4月12日(金),"19,671 人",○,4 - 1,ロッテ,上沢,3:12,札幌ドーム,4月12日(金)
4月13日(土),"31,466 人",○,3 - 0,ロッテ,バーベイト,2:32,札幌ドーム,4月13日(土)
4月14日(日),"24,512 人",○,3 - 1,ロッテ,有原,3:16,札幌ドーム,4月14日(日)
4月23日(火),"18,493 人",●,1 - 4,楽天,杉浦,2:53,札幌ドーム,4月23日(火)
4月24日(水),"18,270 人",○,15 - 5,楽天,ロドリゲス,3:59,札幌ドーム,4月24日(水)
4月25日(木),"18,523 人",○,6 - 5,楽天,金子,4:27,札幌ドーム,4月25日(木)
4月27日(土),"29,241 人",●,1 - 5,ソフトバンク,上原,3:13,札幌ドーム,4月27日(土)
4月28日(日),"41,138 人",○,4 - 0,ソフトバンク,有原,3:12,札幌ドーム,4月28日(日)
4月29日(月),"38,391 人",●,6 - 9,ソフトバンク,上沢,4:04,札幌ドーム,4月29日(月)
5月8日(水),"15,281 人",○,1 - 0,オリックス,金子,2:21,札幌ドーム,5月8日(水)
5月9日(木),"15,061 人",●,1 - 2,オリックス,加藤,2:47,札幌ドーム,5月9日(木)
5月10日(金),"20,053 人",○,7 - 5,西武,上沢,3:19,札幌ドーム,5月10日(金)
5月11日(土),"37,586 人",○,8 - 0,西武,杉浦,3:04,札幌ドーム,5月11日(土)
5月12日(日),"35,648 人",●,3 - 6,西武,バーベイト,3:41,札幌ドーム,5月12日(日)
5月21日(火),"20,985 人",●,3 - 13,楽天,金子,3:42,札幌ドーム,5月21日(火)
5月22日(水),"18,560 人",●,3 - 5,楽天,有原,3:22,札幌ドーム,5月22日(水)
5月23日(木),"17,790 人",○,11 - 2,楽天,杉浦,3:05,札幌ドーム,5月23日(木)
5月28日(火),"17,557 人",○,4 - 3,ロッテ,金子,3:17,札幌ドーム,5月28日(火)
5月29日(水),"17,183 人",○,6 - 4,ロッテ,吉田侑,3:22,札幌ドーム,5月29日(水)
5月30日(木),"18,544 人",○,8 - 0,ロッテ,有原,2:47,札幌ドーム,5月30日(木)
6月4日(火),"18,213 人",○,7 - 6,ヤクルト,上沢,3:58,札幌ドーム,6月4日(火)
6月5日(水),"18,043 人",●,0 - 5,ヤクルト,杉浦,2:58,札幌ドーム,6月5日(水)
6月6日(木),"19,071 人",○,3 - 1,ヤクルト,加藤,3:04,札幌ドーム,6月6日(木)
6月11日(火),"21,102 人",○,5 - 4,広島,上沢,3:05,札幌ドーム,6月11日(火)
6月12日(水),"33,563 人",○,2 - 1,広島,吉田輝,2:47,札幌ドーム,6月12日(水)
6月13日(木),"20,429 人",△,2 - 2,広島,加藤,4:10,札幌ドーム,6月13日(木)
6月14日(金),"33,292 人",○,5 - 4,巨人,有原,3:23,札幌ドーム,6月14日(金)
6月15日(土),"41,138 人",●,5 - 8,巨人,金子,3:33,札幌ドーム,6月15日(土)
6月16日(日),"41,138 人",●,3 - 7,巨人,杉浦,3:25,札幌ドーム,6月16日(日)
6月28日(金),"20,684 人",●,5 - 7,ソフトバンク,有原,3:58,札幌ドーム,6月28日(金)
6月29日(土),"38,570 人",●,4 - 5,ソフトバンク,杉浦,3:24,札幌ドーム,6月29日(土)
6月30日(日),"30,126 人",●,3 - 4,ソフトバンク,浦野,4:05,札幌ドーム,6月30日(日)
7月2日(火),"17,307 人",○,9 - 1,西武,加藤,3:03,札幌ドーム,7月2日(火)
7月3日(水),"17,113 人",○,5 - 3,西武,村田,3:07,札幌ドーム,7月3日(水)
7月4日(木),"20,135 人",●,2 - 8,西武,吉川,3:27,札幌ドーム,7月4日(木)
7月19日(金),"29,214 人",○,5 - 3,ロッテ,加藤,2:59,札幌ドーム,7月19日(金)
7月20日(土),"41,138 人",○,4 - 0,ロッテ,浦野,2:42,札幌ドーム,7月20日(土)
7月21日(日),"34,394 人",●,4 - 9,ロッテ,堀,3:42,札幌ドーム,7月21日(日)
7月30日(火),"20,715 人",●,0 - 2,楽天,吉川,2:44,札幌ドーム,7月30日(火)
7月31日(水),"19,658 人",○,4 - 3,楽天,加藤,3:00,札幌ドーム,7月31日(水)
8月1日(木),"20,504 人",●,1 - 3,楽天,有原,3:13,札幌ドーム,8月1日(木)
8月2日(金),"30,330 人",●,0 - 2,ソフトバンク,杉浦,3:16,札幌ドーム,8月2日(金)
8月3日(土),"27,273 人",●,3 - 6,ソフトバンク,金子,3:19,札幌ドーム,8月3日(土)
8月4日(日),"35,680 人",○,4 - 3,ソフトバンク,堀,3:48,札幌ドーム,8月4日(日)
8月6日(火),"19,799 人",●,0 - 5,オリックス,堀,3:23,札幌ドーム,8月6日(火)
8月7日(水),"23,745 人",●,4 - 6,オリックス,加藤,3:20,札幌ドーム,8月7日(水)
8月8日(木),"15,395 人",●,2 - 5,オリックス,村田,3:18,旭川,8月8日(木)
8月13日(火),"29,278 人",●,1 - 6,ロッテ,堀,3:43,東京ドーム,8月13日(火)
8月14日(水),"35,905 人",●,4 - 9,ロッテ,吉田輝,3:47,東京ドーム,8月14日(水)
8月15日(木),"29,697 人",●,0 - 6,ロッテ,杉浦,3:19,東京ドーム,8月15日(木)
8月17日(土),"41,138 人",○,6 - 1,楽天,有原,3:33,札幌ドーム,8月17日(土)
8月18日(日),"40,204 人",△,4 - 4,楽天,金子,5:15,札幌ドーム,8月18日(日)
8月27日(火),"11,856 人",●,2 - 8,西武,ロドリゲス,3:32,釧路,8月27日(火)
8月28日(水),"11,305 人",●,8 - 10,西武,村田,3:20,釧路,8月28日(水)
8月29日(木),"12,535 人",●,2 - 5,西武,杉浦,3:16,帯広,8月29日(木)
9月6日(金),"26,346 人",○,6 - 2,オリックス,杉浦,3:18,札幌ドーム,9月6日(金)
9月7日(土),"41,138 人",○,8 - 7,オリックス,有原,3:25,札幌ドーム,9月7日(土)
9月8日(日),"40,270 人",○,2 - 0,オリックス,金子,2:36,札幌ドーム,9月8日(日)
9月10日(火),"27,498 人",●,2 - 10,ロッテ,ロドリゲス,3:17,東京ドーム,9月10日(火)
9月11日(水),"24,376 人",●,1 - 3,楽天,加藤,3:27,東京ドーム,9月11日(水)
9月12日(木),"29,124 人",○,4 - 2,楽天,北浦,3:17,東京ドーム,9月12日(木)
9月14日(土),"40,978 人",●,1 - 3,ソフトバンク,有原,3:40,札幌ドーム,9月14日(土)
9月15日(日),"41,138 人",○,7 - 5,ソフトバンク,杉浦,3:47,札幌ドーム,9月15日(日)
9月16日(月),"15,182 人",○,7 - 2,ソフトバンク,金子,2:54,旭川,9月16日(月)
9月26日(木),"33,576 人",○,4 - 1,オリックス,杉浦,2:44,札幌ドーム,9月26日(木)
9月27日(金),"41,138 人",●,1 - 5,オリックス,ロドリゲス,2:42,札幌ドーム,9月27日(金)
