日付,観客数,勝敗,スコア,対戦相手,先発投手,試合時間,球場,日付
3月30日(金),"36,149 人",○,9 - 1,西武,斎藤佑,2:55,札幌ドーム,3月30日(金)
3月31日(土),"32,836 人",○,4 - 3,西武,武田勝,3:15,札幌ドーム,3月31日(土)
4月1日(日),"29,360 人",●,0 - 1,西武,吉川,2:26,札幌ドーム,4月1日(日)
4月3日(火),"17,519 人",●,4 - 5,オリックス,ケッペル,3:35,札幌ドーム,4月3日(火)
4月4日(水),"15,506 人",●,2 - 4,オリックス,八木,3:12,札幌ドーム,4月4日(水)
4月5日(木),"15,041 人",○,3 - 1,オリックス,ウルフ,2:55,札幌ドーム,4月5日(木)
4月13日(金),"29,996 人",●,1 - 2,楽天,斎藤佑,3:10,札幌ドーム,4月13日(金)
4月14日(土),"23,960 人",○,2 - 1,楽天,武田勝,2:49,札幌ドーム,4月14日(土)
4月15日(日),"27,637 人",○,4 - 3,楽天,吉川,2:58,札幌ドーム,4月15日(日)
4月24日(火),"19,347 人",●,1 - 2,ロッテ,多田野,2:46,東京ドーム,4月24日(火)
4月25日(水),"20,803 人",○,5 - 1,ロッテ,八木,2:53,東京ドーム,4月25日(水)
4月26日(木),"22,558 人",○,2 - 1,ロッテ,ウルフ,2:31,東京ドーム,4月26日(木)
5月1日(火),"26,801 人",●,3 - 5,ソフトバンク,多田野,3:01,札幌ドーム,5月1日(火)
5月2日(水),"23,893 人",●,1 - 3,ソフトバンク,八木,2:58,札幌ドーム,5月2日(水)
5月3日(木),"42,063 人",●,0 - 2,ソフトバンク,ウルフ,2:40,札幌ドーム,5月3日(木)
5月4日(金),"37,677 人",○,9 - 2,オリックス,斎藤佑,3:15,札幌ドーム,5月4日(金)
5月5日(土),"31,100 人",●,4 - 5,オリックス,武田勝,3:53,札幌ドーム,5月5日(土)
5月6日(日),"24,106 人",○,3 - 2,オリックス,吉川,3:00,札幌ドーム,5月6日(日)
5月12日(土),"20,308 人",●,8 - 9,西武,斎藤佑,3:30,函館,5月12日(土)
5月13日(日),"20,319 人",●,3 - 4,西武,武田勝,3:30,函館,5月13日(日)
5月22日(火),"22,971 人",○,6 - 2,DeNA,多田野,2:58,札幌ドーム,5月22日(火)
5月23日(水),"28,401 人",○,3 - 1,DeNA,吉川,3:14,札幌ドーム,5月23日(水)
5月25日(金),"23,582 人",△,5 - 5,中日,斎藤佑,3:44,札幌ドーム,5月25日(金)
5月26日(土),"25,613 人",●,2 - 4,中日,ウルフ,3:14,札幌ドーム,5月26日(土)
6月2日(土),"34,170 人",○,2 - 1,阪神,ウルフ,3:37,札幌ドーム,6月2日(土)
6月3日(日),"33,783 人",○,7 - 3,阪神,武田勝,3:31,札幌ドーム,6月3日(日)
6月5日(火),"23,645 人",●,3 - 12,広島,吉川,3:34,札幌ドーム,6月5日(火)
6月6日(水),"22,582 人",○,2 - 1,広島,斎藤佑,2:41,札幌ドーム,6月6日(水)
6月13日(水),"32,788 人",●,6 - 8,巨人,斎藤佑,3:07,札幌ドーム,6月13日(水)
6月14日(木),"29,419 人",○,5 - 1,巨人,吉川,3:12,札幌ドーム,6月14日(木)
6月16日(土),"32,392 人",○,3 - 2,ヤクルト,ウルフ,3:27,札幌ドーム,6月16日(土)
6月17日(日),"36,032 人",●,2 - 3,ヤクルト,武田勝,2:49,札幌ドーム,6月17日(日)
6月26日(火),"14,995 人",●,1 - 2,楽天,武田勝,2:53,東京ドーム,6月26日(火)
6月27日(水),"27,633 人",●,4 - 5,楽天,多田野,3:02,東京ドーム,6月27日(水)
6月28日(木),"16,801 人",○,7 - 3,楽天,八木,3:00,東京ドーム,6月28日(木)
7月6日(金),"21,763 人",△,5 - 5,ソフトバンク,斎藤佑,3:52,札幌ドーム,7月6日(金)
7月7日(土),"33,596 人",●,0 - 5,ソフトバンク,吉川,3:13,札幌ドーム,7月7日(土)
7月8日(日),"32,383 人",●,5 - 8,ソフトバンク,ウルフ,3:25,札幌ドーム,7月8日(日)
